Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_1	Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17234317.0	0.0	150.0	53.0	37.63053959728248	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_2	Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17234317.0	0.0	150.0	53.0	38.94893613632233	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_1	Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17225697.0	0.0	150.0	53.0	34.42873913131226	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_2	Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17225697.0	0.0	150.0	53.0	36.61589987749881	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_1	Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18570226.0	0.0	150.0	54.0	36.20817382208853	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_2	Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18570226.0	0.0	150.0	53.0	37.944320169634324	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_1	Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15965753.0	0.0	150.0	54.0	35.52767911496351	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_2	Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15965753.0	0.0	150.0	53.0	37.9578342146656	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_1	Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19451060.0	0.0	150.0	52.0	38.58956852510042	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_2	Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19451060.0	0.0	150.0	52.0	39.24341313608636	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
