Module	Section	Sample Name	Source
STAR	SummaryLog	brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6Log.final.out
STAR	SummaryLog	brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6	/mnt/c/Users/alanx/Downloads/REPORT/STAR_REPORT/brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6Log.final.out
